,height,sex_no,shoe_size
0,160.0,2,40
1,171.0,2,39
2,174.0,2,39
3,176.0,2,40
4,195.0,1,46
5,157.0,2,37
6,160.0,2,38
7,178.0,2,39
8,168.0,2,38
9,171.0,1,41
10,165.0,2,39
11,175.0,1,44
12,163.0,2,38
13,158.0,2,37
14,159.0,2,38
15,183.0,1,44
16,155.0,2,37
17,172.0,2,39
18,164.0,2,39
19,158.0,2,35
20,174.0,2,37
21,164.0,2,37
22,168.0,2,38
23,168.0,2,38
24,163.0,2,37
25,160.0,2,37
26,183.0,1,46
27,161.0,2,38
28,162.0,2,36
29,165.0,2,37
30,164.0,2,36
31,161.0,2,37
32,163.0,2,39
33,169.0,2,40
34,171.0,2,39
35,163.0,2,38
36,159.0,2,36
37,180.0,2,42
38,168.0,2,38
39,170.0,2,38
40,168.0,2,38
41,180.0,1,42
42,183.0,1,44
43,170.0,2,40
44,172.0,2,39
45,163.0,2,38
46,168.0,2,38
47,1.0,2,41
48,169.0,2,38
49,206.0,1,50
50,165.0,2,38
51,171.0,2,40
52,165.0,2,37
53,168.0,2,38
54,180.0,1,44
55,160.0,2,40
56,183.0,1,44
57,160.0,2,36
58,171.0,2,40
59,167.0,2,39
60,172.0,2,37
61,1.0,2,38
62,173.0,2,38
63,187.0,1,44
64,176.0,2,40
65,180.0,1,42
66,171.0,2,39
67,364.0,2,88
68,168.0,2,36
69,175.0,2,39
70,185.0,1,42
71,205.0,1,48
72,165.0,2,36
73,175.0,1,42
74,175.0,1,42
75,172.0,1,41
76,156.0,2,36
77,1.0,2,38
78,163.0,2,37
79,163.0,2,38
80,1.0,2,38
81,169.0,2,39
82,178.0,2,39
83,170.0,2,38
84,168.0,2,38
85,170.0,2,39
86,173.0,2,40
87,171.0,2,40
88,163.0,2,38
89,166.0,2,38
90,159.0,2,38
91,178.0,2,41
92,178.0,1,44
93,169.0,2,40
94,158.0,2,37
95,170.0,2,39
96,183.0,2,39
97,173.0,2,40
98,160.0,2,37
99,168.0,2,39
100,157.0,2,35
101,163.0,1,40
102,179.0,1,43
103,173.0,1,42
104,174.0,1,43
105,175.0,2,42
106,175.0,2,37
107,168.0,2,39
108,180.0,2,43
109,183.0,2,43
110,175.0,0,44
111,177.0,1,43
112,162.0,2,38
113,162.0,2,37
114,182.0,1,47
115,149.0,2,35
116,182.0,1,46
117,175.0,1,46
118,165.0,2,40
119,167.0,2,39
120,160.0,2,37
121,147.0,2,36
122,167.0,1,41
123,175.0,1,41
124,182.0,1,44
125,180.0,1,43
126,185.0,1,46
127,188.0,1,46
128,190.0,0,46
129,175.0,1,44
0,170.0,2,41
1,174.0,2,42
2,172.0,2,45
3,171.0,2,41
4,157.0,2,38
5,183.0,1,46
6,175.0,1,45
7,175.0,1,45
8,188.0,1,43
9,150.0,1,41
10,193.0,1,47
11,163.0,2,39
12,160.0,2,39
13,150.0,2,38
14,152.0,2,35
15,152.0,2,36
16,182.0,1,45
17,182.0,1,45
18,140.0,1,43
19,179.0,1,45
20,170.0,2,38
21,145.0,1,37
22,168.0,2,40
23,167.0,2,39
24,154.0,1,40
25,168.0,1,42
26,167.0,2,37
27,189.0,1,45
28,162.0,2,39
29,162.0,1,39
30,162.0,2,37
31,175.0,1,45
32,176.0,1,45
33,171.0,1,41
34,171.0,1,41
35,171.0,1,41
36,175.0,1,43
37,181.0,1,45
38,179.0,1,42
39,185.0,1,45
40,185.0,1,46
41,170.0,1,42
42,170.0,1,42
43,156.0,2,38
